Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,No,9,1,76.5
4,82,Yes,4,2,63.6
8,51,No,7,2,62.1
5,52,No,5,2,48.6
7,75,Yes,8,5,77.8
3,78,Yes,9,6,73.1
7,73,No,5,6,68.9
8,45,No,4,6,71.9
5,77,Yes,8,2,64.0
4,89,Yes,4,0,56.4
8,91,Yes,4,5,83.5
8,79,Yes,6,2,78.0
3,47,Yes,9,2,48.9
6,47,Yes,4,2,51.6
5,79,Yes,7,8,84.0
2,72,Yes,4,3,39.4
8,73,No,8,4,74.3
6,83,No,7,2,64.6
2,54,No,4,9,50.6
5,75,Yes,7,0,68.0
1,99,No,4,3,51.7
6,96,Yes,9,0,75.4
9,74,No,7,6,86.3
1,85,Yes,5,6,56.1
3,61,Yes,6,3,41.5
7,62,No,7,4,55.0
4,79,Yes,8,9,85.3
9,84,No,6,6,88.4
3,94,No,6,5,65.5
5,90,No,4,3,63.8
3,61,No,7,3,47.1
7,44,No,9,1,58.4
5,70,No,6,9,76.1
9,52,No,8,1,61.8
7,67,No,9,3,72.1
2,97,No,9,4,63.0
4,59,Yes,8,3,58.1
9,72,Yes,8,2,76.5
2,55,No,4,1,41.5
9,68,Yes,5,3,75.2
5,62,Yes,7,4,58.0
2,63,No,6,0,40.8
4,73,No,7,0,58.6
7,46,Yes,9,5,63.4
8,77,No,6,4,74.4
3,76,No,4,3,50.9
1,43,No,7,0,32.2
4,73,Yes,4,6,63.1
2,81,No,4,3,53.2
8,61,Yes,7,2,66.3
4,44,No,7,6,53.2
2,89,No,6,1,52.6
6,81,Yes,9,9,96.9
6,62,No,9,0,60.9
4,93,Yes,8,3,76.4
6,99,Yes,4,7,92.8
2,54,No,9,5,53.4
2,70,No,5,8,57.4
4,98,Yes,6,0,60.3
8,48,Yes,6,0,53.0
7,82,No,8,4,66.5
9,97,No,8,5,96.7
8,92,No,4,7,87.1
5,64,No,6,2,54.9
2,64,No,6,5,50.3
5,88,Yes,5,2,62.2
8,60,Yes,4,7,77.5
9,48,Yes,4,3,62.7
9,94,Yes,9,1,86.3
1,87,No,8,8,60.7
9,77,Yes,9,9,92.1
7,61,No,4,7,73.6
9,82,No,5,5,87.4
8,62,No,4,2,56.6
1,88,No,9,1,57.2
8,43,No,7,3,58.0
8,68,Yes,7,3,72.2
3,54,No,5,0,45.6
1,40,No,8,8,46.1
8,93,No,6,9,90.7
3,69,Yes,4,7,52.9
3,68,No,9,6,61.5
1,59,No,8,5,46.0
5,72,No,9,2,66.1
7,80,Yes,8,3,74.8
9,83,No,4,1,78.8
7,75,Yes,6,6,80.5
9,99,Yes,4,1,83.1
8,61,No,6,9,82.9
2,52,Yes,9,0,45.3
1,46,Yes,5,5,46.0
7,47,No,6,3,57.6
7,67,No,8,7,76.9
8,84,No,5,0,65.1
5,82,No,9,8,76.2
3,48,Yes,7,5,59.7
8,64,Yes,5,1,68.4
6,95,No,6,7,74.3
3,55,No,5,4,53.3
1,49,No,9,4,45.2
3,50,Yes,5,4,45.0
5,70,No,9,6,79.9
3,51,Yes,7,6,62.7
1,99,Yes,6,9,76.9
5,70,Yes,8,6,73.3
7,53,Yes,5,9,75.9
7,90,No,4,1,57.7
9,83,No,8,7,94.4
3,71,No,5,0,47.3
7,89,Yes,8,1,78.3
1,92,Yes,4,6,62.4
4,56,No,8,3,52.1
4,74,Yes,8,9,71.9
5,40,Yes,4,9,61.0
7,68,Yes,4,8,70.0
7,90,No,4,8,83.9
4,43,No,7,2,40.6
7,62,No,9,2,71.6
3,67,Yes,9,8,62.7
6,55,No,4,9,66.8
2,51,No,9,7,55.3
9,92,No,8,0,86.4
5,60,Yes,4,5,61.8
6,84,Yes,5,6,73.0
4,56,Yes,4,7,54.9
7,79,Yes,4,1,74.3
9,52,Yes,9,0,68.6
7,91,No,6,3,74.9
1,97,No,8,0,50.8
1,71,Yes,9,1,44.3
9,76,Yes,8,2,90.4
9,89,No,5,3,80.9
4,54,Yes,7,5,53.6
9,51,Yes,6,7,81.6
3,88,Yes,5,8,75.2
7,96,Yes,5,3,73.2
6,54,Yes,8,0,54.7
8,73,No,6,4,76.5
9,45,No,8,4,73.1
5,56,Yes,7,8,65.6
1,87,Yes,8,5,54.0
3,88,No,4,4,60.9
8,96,Yes,8,9,100.0
6,59,No,4,9,68.3
8,48,Yes,5,4,64.2
9,98,No,7,7,100.0
4,44,No,9,0,35.0
1,62,Yes,4,4,48.9
1,72,Yes,7,0,49.7
4,77,No,8,6,64.9
7,95,Yes,9,6,79.4
2,53,No,8,9,62.0
3,56,Yes,5,7,59.0
1,96,Yes,8,6,76.0
5,58,Yes,4,8,62.9
1,72,No,5,7,54.7
8,40,No,7,7,60.1
1,52,Yes,5,2,42.4
1,85,No,7,9,58.3
2,66,Yes,6,3,51.2
2,45,No,4,3,31.8
6,98,Yes,4,0,70.9
7,45,No,7,5,62.1
5,72,No,8,1,59.2
1,69,No,9,8,60.3
1,85,No,8,0,49.7
3,74,No,6,0,56.1
2,62,No,7,9,62.7
5,49,Yes,6,5,55.7
6,90,Yes,7,0,67.5
7,58,No,6,2,65.8
4,90,Yes,7,9,76.1
7,67,No,4,1,59.4
8,62,Yes,6,8,72.4
1,43,Yes,6,4,40.1
6,59,Yes,7,5,62.6
8,58,Yes,5,1,60.5
5,81,No,5,7,72.3
4,66,Yes,4,5,62.4
2,96,Yes,8,7,70.8
6,73,Yes,8,7,84.8
6,43,No,4,0,38.3
1,95,Yes,8,6,72.4
9,77,No,9,1,75.7
6,46,No,9,7,71.7
3,87,Yes,9,1,61.7
4,46,No,9,3,48.4
4,89,Yes,7,1,68.1
3,91,Yes,5,6,71.6
3,65,Yes,4,4,50.8
3,65,Yes,7,8,68.7
4,93,Yes,9,4,75.0
7,58,Yes,4,7,71.4
4,48,Yes,5,1,47.4
9,59,No,8,2,64.1
1,81,No,7,5,56.4
8,84,Yes,5,6,76.8
7,89,Yes,4,9,81.9
2,55,No,6,7,51.5
8,93,Yes,7,2,87.6
1,56,No,4,6,42.7
9,61,No,4,7,74.1
9,52,Yes,5,9,78.5
2,51,Yes,4,5,48.4
7,49,No,7,3,55.0
3,40,No,9,5,43.0
7,71,Yes,7,8,89.2
9,69,Yes,4,2,74.2
4,47,No,5,1,38.8
1,60,No,7,4,42.8
2,61,No,6,6,49.6
1,57,Yes,9,2,40.3
5,41,Yes,8,4,55.3
5,87,Yes,5,3,68.9
7,83,No,5,6,84.0
9,48,No,8,1,65.2
9,42,Yes,8,6,79.0
3,93,No,7,1,58.7
3,65,No,4,2,44.2
3,60,No,4,4,48.5
4,69,No,6,6,66.9
8,67,No,9,5,75.3
6,75,Yes,4,6,73.1
8,65,Yes,6,5,77.0
1,73,Yes,6,0,44.6
8,47,Yes,5,4,69.6
4,49,Yes,5,0,44.3
1,87,No,9,6,63.1
8,94,No,7,3,81.8
4,82,No,8,4,56.2
6,89,Yes,8,0,70.8
8,93,No,9,7,87.4
4,53,No,6,3,49.2
3,79,No,9,2,59.5
9,94,Yes,8,0,86.4
3,54,No,6,3,57.2
9,56,No,8,2,76.6
2,92,Yes,7,7,71.2
2,57,Yes,5,8,59.1
2,71,No,5,4,48.9
6,77,Yes,6,8,80.8
3,62,No,9,0,49.9
9,85,Yes,8,6,87.6
4,62,No,4,6,54.5
1,74,No,7,5,45.1
4,78,Yes,8,3,65.3
1,54,Yes,4,8,49.9
5,92,Yes,7,2,71.4
4,63,Yes,7,0,47.7
8,67,No,5,1,63.9
8,55,Yes,6,2,66.8
7,55,No,8,1,62.8
3,79,No,7,5,63.9
1,78,No,8,6,57.1
1,45,Yes,7,4,42.3
3,41,No,9,4,49.7
6,93,No,5,6,75.6
7,52,Yes,6,5,63.0
6,83,No,4,7,72.3
6,86,No,4,8,79.3
6,98,No,9,1,79.3
3,48,Yes,5,1,46.9
6,73,No,7,0,56.5
8,56,No,5,6,79.5
2,66,No,6,3,44.9
5,68,Yes,4,8,68.6
1,76,Yes,8,5,64.8
